"Trait1","Trait2","PositiveAssociation","NegativeAssociation","Score","UnweightedPositive","UnweightedNegative","pair","dist","score"
"pre","repE",95.4172180761919,1.75812913859391,95.4172180761919,695,92,"prerepE",1,95.4172180761919
"pre","racA",85.4705239676899,9.38449227550421,85.4705239676899,666,105,"preracA",3,85.4705239676899
"pre","cadA",64.3006278285732,2.37745032048476,64.3006278285732,512,42,"precadA",11,64.3006278285732
"pre","bin3",94.2232059006488,19.3030343366413,94.2232059006488,775,171,"prebin3",4,94.2232059006488
"pre","copB",66.6883344086242,21.5250055044069,66.6883344086242,1109,164,"precopB",16,66.6883344086242
"repE","racA",62.4457704656852,8.32195904729082,62.4457704656852,510,40,"repEracA",2,62.4457704656852
"repE","bin3",84.3793031366004,5.8694491783517,84.3793031366004,716,45,"repEbin3",5,84.3793031366004
"atl_lytN","dnaC",113.916244091482,7.75854572083585,113.916244091482,1345,631,"atl_lytNdnaC",21,113.916244091482
"atl_lytN","xis",79.3363290817465,6.36187476675108,79.3363290817465,1334,160,"atl_lytNxis",13,79.3363290817465
"atl_lytN","xre",63.2777850500907,1.83613482941003,63.2777850500907,513,55,"atl_lytNxre",10,63.2777850500907
"atl_lytN","lss_lytN",72.3805984204874,7.49426679909565,72.3805984204874,1998,145,"atl_lytNlss_lytN",2,72.3805984204874
"racA","cadA",71.506139235824,1.34417130512515,71.506139235824,554,9,"racAcadA",8,71.506139235824
"racA","bin3",106.039306880975,2.00890465410039,106.039306880975,916,41,"racAbin3",6,106.039306880975
"racA","copB",60.5739270359364,19.4354908067936,60.5739270359364,505,160,"racAcopB",15,60.5739270359364
"dnaC","xis",84.7490212507643,6.35999450894118,84.7490212507643,1066,95,"dnaCxis",9,84.7490212507643
"dnaC","xre",62.555050902355,8.37063981020694,62.555050902355,552,39,"dnaCxre",14,62.555050902355
"cadA","bin3",60.0908201101906,3.35796788934427,60.0908201101906,568,20,"cadAbin3",9,60.0908201101906
"cadA","copB",61.9475161525998,6.98499244626005,61.9475161525998,561,57,"cadAcopB",14,61.9475161525998
"gloC_glpE","copB",62.0382528420319,1.53246250178338,62.0382528420319,1177,32,"gloC_glpEcopB",4,62.0382528420319
"bin3","copB",80.0043846718485,5.35241582294367,80.0043846718485,766,113,"bin3copB",14,80.0043846718485
"mco","copB",62.8913404277169,0,62.8913404277169,700,0,"mcocopB",16,62.8913404277169
"aphA","wecD",94.4121643372712,0,94.4121643372712,685,0,"aphAwecD",1,94.4121643372712
"pre","hsrA_ribZ",69.0595226853826,5.34258929655483,69.0595226853826,1003,35,"prehsrA_ribZ",1,69.0595226853826
"repD_repE_repN","hsrA_ribZ",64.6973029127444,0.00804828973843058,64.6973029127444,1035,8,"repD_repE_repNhsrA_ribZ",1,64.6973029127444
"copB","speG",60.8624824432623,4.13017685341958,60.8624824432623,492,52,"copBspeG",6,60.8624824432623
"entA_entE_speA_speH","entC1_entC2_entC3",71.8650951780795,0,71.8650951780795,640,0,"entA_entE_speA_speHentC1_entC2_entC3",1,71.8650951780795
